Packet Count,Total Length,Packets per Second,Bytes per Second,Avg Interval (s),Max Interval (s),Min Interval (s),Interval Std (s),Norm Avg Interval,Norm Max Interval,Norm Min Interval,Avg Length (bytes),Max Length (bytes),Min Length (bytes),Most Common Length (bytes),Label
808,803559,21.39511678,21277.52308,0.046797555,9.741225,0,0.461934827,0,20.98656972,-0.101307701,994.5037129,1514,74,1514,Wikipedia
1234,1056001,2.074059083,1774.885305,0.482537377,99.37193,0,5.184785506,5.76E-18,19.07299589,-0.093067954,855.7544571,1514,74,1514,Wikipedia
332,352540,3.467811005,3682.355698,0.289237547,82.263481,0,4.529398296,-1.07E-17,18.09826341,-0.06385783,1061.86747,1514,74,1514,Wikipedia
1025,638214,0.93067335,579.4817187,1.075540158,136.02592,0,6.95795045,-1.21E-17,19.39513378,-0.154577151,622.6478049,1514,74,74,Wikipedia
2174,1736902,5.397438926,4312.245844,0.185358317,35.491703,0,1.318169876,1.35E-17,26.78436621,-0.140617928,798.9429623,1514,54,1514,Wikipedia
1788,1134192,1.453614698,922.0795085,0.688325179,85.786671,0,4.674787811,-3.98E-18,18.20368095,-0.147242015,634.3355705,1514,66,1514,Wikipedia
114,67713,1.026615474,609.7825756,0.982694673,45.015105,0,4.905953954,1.23E-18,8.975300367,-0.200306542,593.9736842,1514,74,74,Wikipedia
786,592867,1.688632876,1273.708279,0.59294942,45.006885,0,3.589834407,-1.36E-17,12.37214048,-0.165174588,754.283715,1514,74,1514,Wikipedia
401,411863,3.030010905,3112.093221,0.330856895,45.003131,0,2.783614925,4.44E-18,16.04829522,-0.118858716,1027.089776,1514,74,1514,Wikipedia
1128,908268,1.878645156,1512.689076,0.532770815,242.67024,0,7.600143773,0,31.85959061,-0.070100097,805.2021277,1514,74,1514,Wikipedia
2277,1823145,4.430734347,3547.593839,0.225795385,33.38485,0,1.651569439,1.25E-17,20.07729971,-0.136715647,800.6785244,1514,74,1514,Wikipedia
633,513315,2.545986079,2064.60165,0.393396604,36.209803,0,2.71338302,-3.93E-17,13.19990806,-0.144983809,810.9241706,1514,74,1514,Wikipedia
859,604953,0.630738258,444.1990702,1.587291541,297.244194,0,13.56920783,8.28E-18,21.78881082,-0.116977465,704.2526193,1514,74,1514,Wikipedia
991,1182976,12.72993477,15195.97105,0.078634346,16.110115,0,0.72470062,-3.59E-18,22.12152192,-0.108505974,1193.719475,1514,74,1514,Wikipedia
524,581464,1.713873491,1901.823923,0.584589266,45.003821,0,4.25485602,2.04E-17,10.43965566,-0.137393431,1109.664122,1514,74,1514,Wikipedia
639,516914,1.154853356,934.2094953,0.867268033,45.013138,0,5.245784917,2.78E-17,8.41549371,-0.165326647,808.942097,1514,74,1514,Wikipedia
957,812437,1.768101403,1501.014629,0.56617003,45.008921,0,3.527588871,1.11E-17,12.59861979,-0.160497737,848.9414838,1514,74,1514,Wikipedia
2944,2218080,1.428943354,1076.600093,0.700055595,355.198967,0,7.664415112,3.32E-18,46.25257195,-0.091338424,753.423913,1514,74,1514,Wikipedia
2917,2130609,2.779032476,2029.835998,0.359960866,45.014887,0,2.94224206,9.75E-18,15.17717619,-0.12234237,730.4110387,1514,74,1514,Wikipedia
191,114222,1.649292991,986.3117489,0.609511568,22.320829,0,2.738233691,3.27E-17,7.928949785,-0.22259297,598.0209424,1514,74,74,Wikipedia
2152,1930980,2.053902032,1842.957131,0.487104489,45.015982,0,3.083645378,1.65E-17,14.4403367,-0.157963848,897.295539,1514,74,1514,Wikipedia
680,551932,1.509492556,1225.201832,0.663449946,45.012869,0,4.351461148,2.35E-17,10.19184535,-0.152466016,811.6647059,1514,74,1514,Wikipedia
2139,2129173,3.146250776,3131.796261,0.31798728,45.014892,0,2.482241998,9.97E-18,18.00666685,-0.128104867,995.4057971,1514,74,1514,Wikipedia
921,733800,2.854837148,2274.570574,0.35066342,40.924818,0,2.36144926,-3.86E-18,17.1818871,-0.148495005,796.742671,1514,74,1514,Wikipedia
1825,1616505,3.023681482,2678.244512,0.330903983,45.008426,0,2.179867758,-1.36E-17,20.49551944,-0.151800026,885.7561644,1514,74,1514,Wikipedia
2968,2528425,2.287274041,1948.517812,0.437349011,45.00476,0,2.993641466,-2.16E-17,14.88735759,-0.146092649,851.8952156,1514,74,1514,Wikipedia
1418,1122809,1.788096872,1415.861256,0.559648491,67.236328,0,3.918501287,5.01E-18,17.0158626,-0.142822077,791.825811,1514,74,1514,Wikipedia
1151,928054,2.922922679,2356.759412,0.342420815,28.063958,0,1.907095865,7.72E-18,14.53599564,-0.179550919,806.3023458,1514,74,1514,Wikipedia
1733,1473202,1.99842401,1698.835689,0.500683219,45.014987,0,3.120023322,8.20E-18,14.26729841,-0.160474191,850.0877092,1514,74,1514,Wikipedia
236,174544,3.510324332,2596.212077,0.286086191,12.457273,0,1.282420683,3.78E-18,9.490791104,-0.223082952,739.5932203,1514,74,1514,Wikipedia
